iniciado/0;exp_dip/0;exp_sen;per_ing;ses_ing;tipo_doc;titulo;sumario
DIPUTADOS;0767-D-88;;106;ORDINARIAS;PROYECTO DE LEY;<CS:Titulo>Título:  </CS><FD:TITULO>SUBSIDIO PERMANENTE REAJUSTABLE ANUALMENTE, A LA ASOCIACION PROTECTORA DE LA ANCIANIDAD ALEJANDRA ALBORNOZ, LOCALIDAD IBARRETA, DEPARTAMENTO PATIÑO, PROVINCIA DE FORMOSA.</FD:TITULO>;<CS:Titulo>Sumario: </CS><FD:TITULO>DESTINO: EFICAZ CUMPLIMIENTO DE SU LABOR HUMANITARIA.</FD:TITULO>
DIPUTADOS;0408-D-88;;106;ORDINARIAS;PROYECTO DE DECLARACION;<CS:Titulo>Título:  </CS><FD:TITULO>REHABILITACION DEL SERVICIO FERROVIARIO ENTRE LAS ESTACIONES CORONEL PRINGLES Y BAJO HONDO DEL RAMAL ROSARIO - PUERTO BELGRANO DE LA LINEA GENERAL ROCA.</FD:TITULO>;<CS:Titulo>Sumario: </CS><FD:TITULO>SOLICITUD AL PODER EJECUTIVO NACIONAL.</FD:TITULO>
DIPUTADOS;1277-D-88;;106;ORDINARIAS;PROYECTO DE LEY;"<CS:Titulo>Título:  </CS><FD:TITULO>LEY NACIONAL DE REGISTRO PUBLICO DE COMERCIO; MODIFICACION AL CODIGO DE COMERCIO; (REPRODUCCION DEL EXPEDIENTE 1074-D-86).</FD:TITULO>";"<CS:Titulo>Sumario: </CS><FD:TITULO>DOCUMENTOS REGISTRABLES; PROCEDIMIENTOS; PRIORIDADES; LEY 19550: SUSTITUYE ARTICULOS 5, 8, 53, 167, 299, 300 Y DEROGA ARTICULOS 6 Y 10 LEY 21768: SUSTITUYE ARTICULO 1 CODIGO COMERCIO: SUSTITUYE ARTICULO 39; DEROGA ARTICULOS 34 A 38 Y 40.</FD:TITULO>"
DIPUTADOS;0609-D-88;;106;ORDINARIAS;PROYECTO DE DECLARACION;<CS:Titulo>Título:  </CS><FD:TITULO>ELIMINACION DE LOS DERECHOS DE EXPORTACION QUE GRAVAN LA MIEL NATURAL DE ABEJA Y LIQUIDACION DE ESAS EXPORTACIONES POR EL MERCADO FINANCIERO O LIBRE.</FD:TITULO>;<CS:Titulo>Sumario: </CS><FD:TITULO>SOLICITUD AL PODER EJECUTIVO NACIONAL.</FD:TITULO>
DIPUTADOS;0751-D-88;;106;ORDINARIAS;PROYECTO DE LEY;<CS:Titulo>Título:  </CS><FD:TITULO>DIA DEL TRABAJADOR DE LA EDUCACION.</FD:TITULO>;<CS:Titulo>Sumario: </CS><FD:TITULO>ESTABLECESE COMO TAL EL DIA 23 DE MAYO.</FD:TITULO>
DIPUTADOS;0676-D-88;;106;ORDINARIAS;PROYECTO DE DECLARACION;<CS:Titulo>Título:  </CS><FD:TITULO>DISPONER LA PROVISION DE AGUA POTABLE EN EL BARRIO EX IAPI, BERNAL OESTE, PARTIDO DE QUILMES, PROVINCIA DE BUENOS AIRES.</FD:TITULO>;<CS:Titulo>Sumario: </CS><FD:TITULO>SOLICITUD AL PODER EJECUTIVO NACIONAL.</FD:TITULO>
DIPUTADOS;1048-D-88;;106;ORDINARIAS;PROYECTO DE DECLARACION;<CS:Titulo>Título:  </CS><FD:TITULO>SE ASIGNE AL AEROPUERTO INTERNACIONAL DE EL CADILLAL, DE JUJUY UNO DE LOS ELEVADORES DE SILLAS DE RUEDAS QUE ADQUIRIO AEROLINEAS ARGENTINAS.</FD:TITULO>;<CS:Titulo>Sumario: </CS><FD:TITULO>SOLICITUD AL PODER EJECUTIVO NACIONAL, PARA POSIBILITAR EL TRASLADO Y ELEVACION A LAS AERONAVES A PASAJEROS ENFERMOS O DISCAPACITADOS.</FD:TITULO>
DIPUTADOS;1015-D-88;;106;ORDINARIAS;PROYECTO DE LEY;"<CS:Titulo>Título:  </CS><FD:TITULO>REGIMEN LEGAL PARA LA CREACION Y FUNCIONAMIENTO DE LA UNIVERSIDAD NACIONAL Y PARA LA HABILITACION PROFESIONAL DE TITULOS ACADEMICOS EN UNIVERSIDADES NACIONALES, OTRAS UNIVERSIDADES PUBLICAS Y PRIVADAS; MODIFICA LAS LEYES 22520, 17604 Y DEROGA LA LEY 23151.</FD:TITULO>";"<CS:Titulo>Sumario: </CS><FD:TITULO>FINES; RECURSOS; CONSEJO INTERUNIVERSITARIO NACIONAL INTEGRADO POR RECTORES Y/O PRESIDENTES DE LAS UNIVERSIDADES NACIONALES, FUNCIONES; INTERVENCION: SOLO POR EL PODER JUDICIAL; CREACION DE CENTROS CUATERNARIOS: CARACTERISTICAS; CONSEJO NACIONAL DE HABILITACION PROFESIONAL: FUNCIONES, REPRESENTANTES TITULOS YA EXISTENTES A LOS QUE CORRESPONDAN A ACTUALES ALUMNOS, GOZARAN DE HABILITACION PROFESIONAL; DEROGACION DEL DECRETO 451/73; INCISO 8) Y 11) DEL ARTICULO 22 DE LA LEY 22520; EL INCISO C) DEL ARTICULO 4O DE LA LEY 17604 Y LA LEY 23151.</FD:TITULO>"
DIPUTADOS;0990-D-88;;106;ORDINARIAS;PROYECTO DE RESOLUCION;<CS:Titulo>Título:  </CS><FD:TITULO>MANIOBRAS MILITARES 'PURPLE VENTURE', QUE EL REINO UNIDO REALIZABA, A PARTIR DEL 14/06/88 EN LA ISLA ASCENSION.</FD:TITULO>;<CS:Titulo>Sumario: </CS><FD:TITULO>EXPRESION DE REPUDIO.</FD:TITULO>
DIPUTADOS;1107-D-88;;106;ORDINARIAS;PROYECTO DE LEY;<CS:Titulo>Título:  </CS><FD:TITULO>ELEVACION POR LAS EMPRESAS DEL ESTADO Y LAS REGLAMENTADAS POR LEYES ESPECIALES DE SUS PRESUPUESTOS AL PODER EJECUTIVO NACIONAL. (REPRODUCCION DEL EXPEDIENTE 4560-D-85).</FD:TITULO>;"<CS:Titulo>Sumario: </CS><FD:TITULO>ARBITRAR LO RELATIVO A LAS SOCIEDADES DE ECONOMIA MIXTA, CORPORACIONES INTERESTATALES, ETCETERA; RATIFICACION POR EL CONGRESO DE LOS DECRETOS APROBATORIOS; DEROGACION DEL ARTICULO 31 DE LA LEY 23110; INCORPORACION DE LA PRESENTE A LA LEY 11672.</FD:TITULO>"
